CAM.x	participantCAM.x	id	text	value	comment	date.x	x_pos	y_pos	predefinedConcept	isDraggable	isDeletable.x	isTextChangeable	isActive.x	CAM.y	participantCAM.y	id.y	date.y	idending	intensity	agreement	isBidirectional	isDeletable.y	isActive.y
ac65f89b-77aa-4a16-9186-0ce6d4964205	65410ad762a7e3c570b6273c	00363e21-ec49-4826-86d5-0d81169de1cf	consequence	10		2023-12-10T10:45:31Z	575.3333	55.5	FALSE	1	1	1	TRUE	ac65f89b-77aa-4a16-9186-0ce6d4964205	65410ad762a7e3c570b6273c	af1e40f5-d501-49ca-a08f-215aa387928e	2023-12-10T10:47:15Z	c8dc4e45-7b5a-4330-a7d2-d489ad32de68	3	1	0	1	TRUE
ac65f89b-77aa-4a16-9186-0ce6d4964205	65410ad762a7e3c570b6273c	00363e21-ec49-4826-86d5-0d81169de1cf	consequence	10		2023-12-10T10:45:31Z	575.3333	55.5	FALSE	1	1	1	TRUE	ac65f89b-77aa-4a16-9186-0ce6d4964205	65410ad762a7e3c570b6273c	e85c28df-526b-49d9-8558-4a84eab9cf7f	2023-12-10T10:48:29Z	8c2734f1-82fc-49fd-88df-3e0c248d4386	3	1	0	1	TRUE
ac65f89b-77aa-4a16-9186-0ce6d4964205	65410ad762a7e3c570b6273c	8c2734f1-82fc-49fd-88df-3e0c248d4386	measures	10		2023-12-10T10:47:25Z	786.3333	182.5	FALSE	1	1	1	TRUE	ac65f89b-77aa-4a16-9186-0ce6d4964205	65410ad762a7e3c570b6273c	34132e1c-ca4b-4eb8-ad9f-8355db0e72ed	2023-12-10T10:48:38Z	20bad198-1812-4acb-9239-1f7d6d3e92b6	3	1	0	1	TRUE
ac65f89b-77aa-4a16-9186-0ce6d4964205	65410ad762a7e3c570b6273c	8c2734f1-82fc-49fd-88df-3e0c248d4386	measures	10		2023-12-10T10:47:25Z	786.3333	182.5	FALSE	1	1	1	TRUE	ac65f89b-77aa-4a16-9186-0ce6d4964205	65410ad762a7e3c570b6273c	a9d32a76-a77d-411e-8cbc-32a69ac1a508	2023-12-10T10:49:29Z	7db47076-c613-4cb8-a4e3-b7301876a687	3	1	0	1	TRUE
ac65f89b-77aa-4a16-9186-0ce6d4964205	65410ad762a7e3c570b6273c	8c2734f1-82fc-49fd-88df-3e0c248d4386	measures	10		2023-12-10T10:47:25Z	786.3333	182.5	FALSE	1	1	1	TRUE	ac65f89b-77aa-4a16-9186-0ce6d4964205	65410ad762a7e3c570b6273c	f73d953c-6307-458f-ab37-77d6cee04e38	2023-12-10T10:49:30Z	b97fd938-beb2-4457-80ff-eed8d140bf9b	3	1	0	1	TRUE
ac65f89b-77aa-4a16-9186-0ce6d4964205	65410ad762a7e3c570b6273c	8c2734f1-82fc-49fd-88df-3e0c248d4386	measures	10		2023-12-10T10:47:25Z	786.3333	182.5	FALSE	1	1	1	TRUE	ac65f89b-77aa-4a16-9186-0ce6d4964205	65410ad762a7e3c570b6273c	aedb3bb7-8382-40c1-9390-6f0332dfa797	2023-12-10T10:49:31Z	543dccd3-6f19-42f4-bddb-6eda15329417	3	1	0	1	TRUE
96328cf1-ed80-4289-8795-233d93caf8db	6053d1011605ac6f3164bc99	02f294dc-7153-439d-b5a2-1e8f30df48b4	climate change	-3		2023-12-10T10:33:57Z	650	400	TRUE	0	0	0	TRUE	96328cf1-ed80-4289-8795-233d93caf8db	6053d1011605ac6f3164bc99	e3b2f616-3067-4348-83e7-25dd1aa86b9b	2023-12-10T10:34:52Z	c653e3ae-d15e-46e0-b6e9-6c05cc185b61	9	1	0	1	TRUE
96328cf1-ed80-4289-8795-233d93caf8db	6053d1011605ac6f3164bc99	02f294dc-7153-439d-b5a2-1e8f30df48b4	climate change	-3		2023-12-10T10:33:57Z	650	400	TRUE	0	0	0	TRUE	96328cf1-ed80-4289-8795-233d93caf8db	6053d1011605ac6f3164bc99	8ee37e2d-c458-4e6a-9306-3819e6e5a802	2023-12-10T10:35:54Z	7a223457-3e62-4c8e-8c2c-0f7e694d9c3e	9	1	0	1	TRUE
96328cf1-ed80-4289-8795-233d93caf8db	6053d1011605ac6f3164bc99	02f294dc-7153-439d-b5a2-1e8f30df48b4	climate change	-3		2023-12-10T10:33:57Z	650	400	TRUE	0	0	0	TRUE	96328cf1-ed80-4289-8795-233d93caf8db	6053d1011605ac6f3164bc99	1ecca14a-af71-42e8-aced-3d42d3e14a7e	2023-12-10T10:36:41Z	b37b09f6-5b52-4e3e-9c99-129ec2c22572	9	1	0	1	TRUE
96328cf1-ed80-4289-8795-233d93caf8db	6053d1011605ac6f3164bc99	02f294dc-7153-439d-b5a2-1e8f30df48b4	climate change	-3		2023-12-10T10:33:57Z	650	400	TRUE	0	0	0	TRUE	96328cf1-ed80-4289-8795-233d93caf8db	6053d1011605ac6f3164bc99	f7439336-e6e1-4212-9e32-cbe4a4b618a4	2023-12-10T10:36:57Z	7d808dd7-4459-45ee-a243-d543f57cd10f	3	1	0	1	TRUE
96328cf1-ed80-4289-8795-233d93caf8db	6053d1011605ac6f3164bc99	02f294dc-7153-439d-b5a2-1e8f30df48b4	climate change	-3		2023-12-10T10:33:57Z	650	400	TRUE	0	0	0	TRUE	96328cf1-ed80-4289-8795-233d93caf8db	6053d1011605ac6f3164bc99	db233675-abbd-411c-9d11-4b47e9a00a5a	2023-12-10T10:40:02Z	c6e5591d-3834-4742-9f14-240239bae612	3	1	0	1	TRUE
96328cf1-ed80-4289-8795-233d93caf8db	6053d1011605ac6f3164bc99	02f294dc-7153-439d-b5a2-1e8f30df48b4	climate change	-3		2023-12-10T10:33:57Z	650	400	TRUE	0	0	0	TRUE	96328cf1-ed80-4289-8795-233d93caf8db	6053d1011605ac6f3164bc99	64a9ea7a-d88a-4812-a9a7-96e88ae23411	2023-12-10T10:46:38Z	e2e02817-70cb-4224-a412-6b9a740ea16d	9	1	0	1	TRUE
96328cf1-ed80-4289-8795-233d93caf8db	6053d1011605ac6f3164bc99	c653e3ae-d15e-46e0-b6e9-6c05cc185b61	natural disaster	-3		2023-12-10T10:34:18Z	995	406	FALSE	1	1	1	TRUE	96328cf1-ed80-4289-8795-233d93caf8db	6053d1011605ac6f3164bc99	4a40e892-2f2c-44bc-880b-f0f8ef9ddf98	2023-12-10T10:35:56Z	7a223457-3e62-4c8e-8c2c-0f7e694d9c3e	9	1	0	1	TRUE
96328cf1-ed80-4289-8795-233d93caf8db	6053d1011605ac6f3164bc99	7a223457-3e62-4c8e-8c2c-0f7e694d9c3e	climate migration	-2		2023-12-10T10:34:55Z	852	622	FALSE	1	1	1	TRUE	96328cf1-ed80-4289-8795-233d93caf8db	6053d1011605ac6f3164bc99	5e05bce6-935a-448b-9d23-8a1d34656858	2023-12-10T10:40:00Z	c6e5591d-3834-4742-9f14-240239bae612	9	1	0	1	TRUE
96328cf1-ed80-4289-8795-233d93caf8db	6053d1011605ac6f3164bc99	b37b09f6-5b52-4e3e-9c99-129ec2c22572	climate activism	2		2023-12-10T10:36:14Z	445	378	FALSE	1	1	1	TRUE	96328cf1-ed80-4289-8795-233d93caf8db	6053d1011605ac6f3164bc99	7fe7abc6-14ca-48ed-84b2-8493fc0839d2	2023-12-10T10:38:49Z	03a4e08d-467e-4a64-bc5e-0df82bff9efe	9	0	0	1	TRUE
96328cf1-ed80-4289-8795-233d93caf8db	6053d1011605ac6f3164bc99	7d808dd7-4459-45ee-a243-d543f57cd10f	paris agreement	10	Es ist gut. Aber sie wird nicht richtig umgesetzt.	2023-12-10T10:36:48Z	794	258	FALSE	1	1	1	TRUE	96328cf1-ed80-4289-8795-233d93caf8db	6053d1011605ac6f3164bc99	68add445-e0e6-47ce-b82f-186bc7023f80	2023-12-10T10:41:23Z	c11c166f-6a61-4d75-9075-b53b1d5c3198	3	1	0	1	TRUE
