Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
65630f94856d40cf24171608,6517299ba3d7cde45394692a,APPROVED,2023-11-26T09:29:32.475000Z,2023-11-26T09:40:30.239000Z,2023-11-26T09:40:30.806000Z,2023-11-26T09:40:30.740690Z,658.0,C871QPIG,21,"English, French, German, Russian, Turkish",19,Female,Mixed,Turkey,Germany,Turkey,Turkish,Yes,Part-Time
65630fce2d4f1e21cfc801c3,654108e8f80e9bb9d47d0624,AWAITING REVIEW,2023-11-26T09:28:49.340000Z,2023-11-26T09:37:35.195000Z,,2023-11-26T09:37:35.641841Z,526.0,NOCODE,19,"English, German",23,Female,Mixed,Germany,Germany,Germany,German,Yes,Part-Time
65630fef6e267d7a7ead5509,5a74e93feea3d300016dd8ca,APPROVED,2023-11-26T09:29:19.879000Z,2023-11-26T09:34:50.578000Z,2023-11-26T09:34:51.163000Z,2023-11-26T09:34:51.105464Z,331.0,C871QPIG,1764,"German, English",33,Male,White,Germany,Germany,Germany,German,No,Full-Time
65630ff35fcdc784f8a93cf0,62c420a506940fa5ca499e68,APPROVED,2023-11-26T09:29:25.686000Z,2023-11-26T09:40:12.046000Z,2023-11-26T09:40:12.603000Z,2023-11-26T09:40:12.539855Z,647.0,C871QPIG,168,"English, German",32,Male,White,Germany,Germany,Germany,German,No,Full-Time
65630ff46a40b026d0faddf1,5bf3199ebe7c7300017b710a,APPROVED,2023-11-26T09:29:28.722000Z,2023-11-26T09:38:12.468000Z,2023-11-26T09:38:13.073000Z,2023-11-26T09:38:13.015981Z,524.0,C871QPIG,1151,"English, German",40,Male,White,Germany,Germany,Germany,German,DATA_EXPIRED,DATA_EXPIRED
65630fff49d17889d8a5f9c0,60fd5d982789160769f1ba94,APPROVED,2023-11-26T09:29:39.333000Z,2023-11-26T09:37:34.477000Z,2023-11-26T09:37:36.021000Z,2023-11-26T09:37:35.106954Z,476.0,C871QPIG,939,German,46,Male,White,Germany,Germany,Germany,German,No,Full-Time
65631032c580f1305d0a476f,6516d4029952afb87476bf34,APPROVED,2023-11-26T09:30:58.992000Z,2023-11-26T09:41:14.680000Z,2023-11-26T09:41:15.226000Z,2023-11-26T09:41:15.161860Z,616.0,C871QPIG,41,"English, German",35,Prefer not to say,White,Germany,Germany,Germany,German,Yes,Full-Time
65631034e817db3fa10a4754,6554d1f1fda70c02063f51bd,APPROVED,2023-11-26T09:30:28.925000Z,2023-11-26T09:48:41.792000Z,2023-11-26T09:48:42.429000Z,2023-11-26T09:48:42.350850Z,1093.0,C871QPIG,17,German,62,Female,White,Germany,Germany,Germany,German,No,Part-Time
656310435b002a6ce8e419b9,6516edcfb2b8ee9aee7c13c6,APPROVED,2023-11-26T09:30:43.404000Z,2023-11-26T09:38:55.148000Z,2023-11-26T09:38:57.165000Z,2023-11-26T09:38:55.661016Z,492.0,C871QPIG,58,"English, German",22,Male,White,Germany,Germany,Germany,German,Yes,Full-Time
6563104c7b0bdeeb9e5a9c4d,651eb490746d8f0ea8134f75,APPROVED,2023-11-26T09:30:56.301000Z,2023-11-26T09:36:17.259000Z,2023-11-26T09:36:20.353000Z,2023-11-26T09:36:17.708126Z,321.0,C871QPIG,25,"English, German",22,Female,White,Germany,Germany,Germany,German,Yes,Other
