Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,U.s. political affiliation,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
65620e62b611967e7b00c9ff,64d52f62a1f1a7371760fe4f,APPROVED,2023-11-25T15:10:30.375000Z,2023-11-25T15:27:55.489000Z,2023-11-25T15:27:56.070000Z,2023-11-25T15:27:56.008992Z,1046.0,C871QPIG,532,Democrat,English,51,Male,Mixed,United States,United States,United States,English,No,DATA_EXPIRED
65620fcc6c34aeb8f73d7721,63f8083b81d600b33e288f21,APPROVED,2023-11-25T15:24:13.434000Z,2023-11-25T15:47:28.134000Z,2023-11-25T15:47:28.626000Z,2023-11-25T15:47:28.563868Z,1395.0,C871QPIG,1423,Democrat,English,32,Female,Black,United States,United States,United States,English,DATA_EXPIRED,Full-Time
6561f717a37c6ad699ad0854,626aa30c05328c5519b86746,RETURNED,2023-11-25T13:31:09.379000Z,,,,,,1815,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6561fc25ec589691ac9b10be,63cf00b131641be92828a9a9,RETURNED,2023-11-25T13:52:41.574000Z,,,,,,569,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6561fd0e24b493cd35e5c326,57d5593f8dcd2c00014bc55b,RETURNED,2023-11-25T13:56:34.060000Z,,,,,,5168,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6561fe921be7d9d80995a84f,5f6ac3f62c65e21a96d0a5e1,RETURNED,2023-11-25T14:03:24.467000Z,,,,,,2218,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6561ff46e4737a09b92c1560,5eaff2eac963900392c6dc48,RETURNED,2023-11-25T14:06:02.264000Z,,,,,,3946,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6561ff5124fadf875158aebc,5b667e3fdc84c6000173edc2,RETURNED,2023-11-25T14:15:25.518000Z,,,,,,4196,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6562009f268139dc7d14f21c,63d30b2b7cd6beb472ecc740,RETURNED,2023-11-25T14:12:00.544000Z,,,,,,1254,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
65620104578282cac49fade7,5748077a5e5491000e3bf711,RETURNED,2023-11-25T14:13:28.159000Z,,,,,,4497,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
656202249ca468761bb949ae,65362dcd7a429cb544f6a581,RETURNED,2023-11-25T14:20:18.884000Z,,,,,,159,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6562025f0675e33b245428cc,5c8e72856243bb0001dcdea2,RETURNED,2023-11-25T14:30:00.029000Z,,,,,,5943,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
65620d63c5fec797044dfd3d,5b233660648d5b0001b7de87,RETURNED,2023-11-25T15:06:11.491000Z,,,,,,5906,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
65620db06e3331528cf8fcc4,5feb65120b1a44738e27ae4f,RETURNED,2023-11-25T15:07:28.048000Z,,,,,,2171,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
65620e1da862fa90e4f7b271,60fef598fdc5d86a5918c7df,RETURNED,2023-11-25T15:09:21.801000Z,,,,,,1296,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
