Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,U.s. political affiliation,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
656231bdec32618db6ea0989,653fc352c624ab8543d4e2ff,APPROVED,2023-11-25T17:41:22.464000Z,2023-11-25T17:51:09.234000Z,2023-11-25T17:51:09.783000Z,2023-11-25T17:51:09.712555Z,587.0,C871QPIG,188,Republican,English,46,Male,White,United States,United States,United States,English,No,Full-Time
656231bef6b4756ac64c374c,6406300d0af7758269c8dc0b,APPROVED,2023-11-25T17:49:53.040000Z,2023-11-25T18:18:57.065000Z,2023-11-25T18:18:57.544000Z,2023-11-25T18:18:57.474985Z,1745.0,C871QPIG,1554,Republican,"English, Spanish",24,Male,Mixed,United States,United States,United States,English,Yes,Full-Time
656231c2412013dde08aa9bd,636581a08eab842daa28f00a,APPROVED,2023-11-25T17:41:30.086000Z,2023-11-25T17:44:51.929000Z,2023-11-25T17:44:52.585000Z,2023-11-25T17:44:52.508117Z,202.0,C871QPIG,2608,Republican,English,32,Male,White,United States,United States,United States,English,No,Full-Time
656231c778ae045713e59d95,59296fb2e8a7ff000163f033,APPROVED,2023-11-25T17:41:30.793000Z,2023-11-25T18:02:29.335000Z,2023-11-25T18:02:29.832000Z,2023-11-25T18:02:29.768081Z,1259.0,C871QPIG,7040,Republican,English,39,Male,White,United States,United States,United States,English,No,Full-Time
656231c752624795c40b30a1,62dc177e02f82aabb20aebc2,APPROVED,2023-11-25T17:41:35.911000Z,2023-11-25T17:49:51.537000Z,2023-11-25T17:49:52.129000Z,2023-11-25T17:49:52.039501Z,496.0,C871QPIG,2971,Republican,English,63,Female,White,United States,United States,United States,English,No,Other
656231c927dc5d95e0caa4b8,63251e479509813fab713ad2,APPROVED,2023-11-25T17:41:32.471000Z,2023-11-25T17:53:37.380000Z,2023-11-25T17:53:37.859000Z,2023-11-25T17:53:37.794223Z,725.0,C871QPIG,3027,Republican,English,39,Male,White,United States,United States,United States,English,No,Full-Time
656231cb2e8eaec4c6b4ad6a,644a9d92849b27eb99202a91,APPROVED,2023-11-25T17:47:35.400000Z,2023-11-25T17:57:45.029000Z,2023-11-25T17:57:45.596000Z,2023-11-25T17:57:45.527745Z,610.0,C871QPIG,1635,Republican,English,56,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
656231d1d1d5261a1559dd4a,5d8a64630ffb9c001746ca2c,APPROVED,2023-11-25T17:41:41.511000Z,2023-11-25T17:53:19.647000Z,2023-11-25T17:53:20.227000Z,2023-11-25T17:53:20.163838Z,699.0,C871QPIG,8081,Republican,English,64,Male,Asian,United States,United States,United States,English,No,Full-Time
656231d549d17889d8a5df9f,5d1511f1e814b800016108a6,APPROVED,2023-11-25T17:41:49.038000Z,2023-11-25T17:49:31.672000Z,2023-11-25T17:49:32.218000Z,2023-11-25T17:49:32.159096Z,463.0,C871QPIG,6518,Republican,English,67,Male,White,United States,United States,United States,English,No,Full-Time
656231e6e4e979a116eed515,653952edc9d2be4fc5755bc6,APPROVED,2023-11-25T17:42:07.839000Z,2023-11-25T17:52:55.397000Z,2023-11-25T17:52:55.973000Z,2023-11-25T17:52:55.883866Z,648.0,C871QPIG,255,Republican,English,69,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking)
